genus,family
Lemmaphyllum,Polypodiaceae
Lepicystis,Polypodiaceae
Lepidogrammitis,Polypodiaceae
Lepidomicrosorium,Polypodiaceae
Macroplethus,Polypodiaceae
Marginaria,Polypodiaceae
Marginariopsis,Polypodiaceae
Mecosorus,Polypodiaceae
Merinthosorus,Polypodiaceae
Metapolypodium,Polypodiaceae
Microferus,Polypodiaceae
Microphlebodium,Polypodiaceae
Micropteris,Polypodiaceae
Microsorium,Polypodiaceae
Microterus,Polypodiaceae
Myrmecopteris,Polypodiaceae
Myuropteris,Polypodiaceae
Nematopteris,Polypodiaceae
Neocheiropteris,Polypodiaceae
Neolepisorus,Polypodiaceae
Neoniphopsis,Polypodiaceae
Neurodium,Polypodiaceae
Neuroplatyceros,Polypodiaceae
Nevrodium,Polypodiaceae
Niphobolus,Polypodiaceae
Niphopsis,Polypodiaceae
Nistarika,Polypodiaceae
Oleandropsis,Polypodiaceae
Paltonium,Polypodiaceae
Paragramma,Polypodiaceae
Paraleptochilus,Polypodiaceae
Paraselliguea,Polypodiaceae
Pessopteris,Polypodiaceae
Photinopteris,Polypodiaceae
Phymatodes,Polypodiaceae
Phymatopsis,Polypodiaceae
Phymatopteris,Polypodiaceae
Phymatosorus,Polypodiaceae
Platygyria,Polypodiaceae
Plectopteris,Polypodiaceae
Pleopodium,Polypodiaceae
Pleuridium,Polypodiaceae
Pleurogonium,Polypodiaceae
Pleurogramme,Polypodiaceae
Polycampium,Polypodiaceae
Polypodiastrum,Polypodiaceae
Polypodiodes,Polypodiaceae
Polypodioides,Polypodiaceae
Polypodiopsis,Polypodiaceae
Polypodiopteris,Polypodiaceae
Pseudocolysis,Polypodiaceae
Pseudodrynaria,Polypodiaceae
Psygmium,Polypodiaceae
Pteropsis,Polypodiaceae
Pycnoloma,Polypodiaceae
Radiogrammitis,Polypodiaceae
Rhizophyllum,Polypodiaceae
Saxiglossum,Polypodiaceae
Schellolepis,Polypodiaceae
Scyopteris,Polypodiaceae
Scytopteris,Polypodiaceae
Solanopteris,Polypodiaceae
Sphaerostichum,Polypodiaceae
Stenofilix,Polypodiaceae
Thayeria,Polypodiaceae
Themelium,Polypodiaceae
Tricholepidium,Polypodiaceae
Weatherbya,Polypodiaceae
Xiphopteris,Polypodiaceae
Zygadenia,Polypodiaceae
Zygophlebia,Polypodiaceae
Tristeca,Psilotaceae
Adenogramme,Pteridaceae
Adianthum,Pteridaceae
Afropteris,Pteridaceae
Allosorus,Pteridaceae
Anetium,Pteridaceae
Anopteris,Pteridaceae
Aropteris,Pteridaceae
Aspleniopsis,Pteridaceae
Bakeropteris,Pteridaceae
Botryogramme,Pteridaceae
Callogramme,Pteridaceae
Calomelanos,Pteridaceae
Campteria,Pteridaceae
Cassebeera,Pteridaceae
Ceratodactylis,Pteridaceae
Ceropteris,Pteridaceae
Cheilosoria,Pteridaceae
Choristosoria,Pteridaceae
